price,address,rooms,baths,area,image,status
1.700,"Coronel Souper, 4158, Estación Central",1,1,31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/89962d4d-565b-4818-9a9d-2eabb718a798_718A8891-HDR.jpg,Disponible
1.880,"San Isidro, 635, Santiago",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/65e70f26-9a2a-48f6-aeb0-8fd2fdbdac7b_718A8813-HDR.jpg,Reservado
2.030,"Amunategui, 695, Santiago",1,1,35,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/26d9b1b4-e041-42b2-a613-19b3029d7eb8_718A9131-HDR.jpg,Disponible
1.760,"Constantino, 141, Estación Central",1,1,28,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/3f513488-fd64-4f06-8b24-1044cc2dfabc_718A3839-HDR.jpg,Disponible
1.890,"Morande, 707, Santiago",1,1,34,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/3c74142c-fedc-4ffa-a891-03081d51ab6c_718A5474-HDR.jpg,Reservado
1.500,"Coronel Souper, 4060, Estación Central",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/8466794e-1d9f-476c-abdf-c07d81c0886a_Coronel%20Souper%204060%20-%20Depto%201508B%20(9).jpeg,Disponible
1.500,"Toro Mazotte, 110, Estación Central",1,1,31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/e661bb8f-e625-42c8-85cc-35466a9dc2a5_Toro%20Mazotte%20110%20-%20Depto%20923%20(5).jpeg,Disponible
2.700,"Portugal, 28, Santiago",3,1,71,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/2596221b-38a0-45e9-ac4a-49f0af287ece_WhatsApp%20Image%202026-01-20%20at%2012.09.13%20PM.jpeg,Disponible
2.470,"Tucapel Jimenez, 136, Santiago",2,1,42,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/070eeeaa-fc99-4f58-abd2-aee8ad50e27a_718A0520-HDR.jpg,Reservado
2.350,"Eleuterio Ramirez, 926, Santiago",2,1,43,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/8ccf57be-b707-4c3b-8d9b-85c4a651e6e3_718A5429-HDR.jpg,Reservado
2.500,"Gorbea, 1953, Santiago",1,1,44,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/9a5b4c6e-dd0c-4430-ba3e-e33a9cac2524_IMG_20250417_111410.jpg,Reservado
2.360,"Eleuterio Ramirez, 926, Santiago",2,1,43,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/805f093a-c0d1-47ae-be0e-fca701bd825c_718A5373-HDR.jpg,Disponible
1.860,"Fray Camilo Henriquez, 190, Santiago",1,1,28,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/91e639d7-3236-413e-bcee-efd594268199_718A0212-HDR.jpg,Reservado
3.110,"Amunategui, 630, Santiago",2,2,52,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/59415eec-8ed1-4eb7-a629-30a8aaac8716_718A1939-HDR.jpg,Reservado
2.130,"Argomedo, 390, Santiago",1,1,37,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/01143ca9-257f-4c1e-9820-99fad2778d30_718A7155.jpg,Reservado
3.110,"Arturo Prat, 636, Santiago",2,2,47,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/db628708-5018-4f9e-80e7-f57a043a0696_718A3276-HDR.jpg,Reservado
2.060,"Calle Gay, 1728, Santiago",1,1,34,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/63555e24-a1ff-442e-810d-aaac3779001d_718A8946-HDR.jpg,Reservado
1.810,"San Francisco, 294, Santiago",1,1,27,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/285abd49-3d0e-45d1-ae79-2d81b27a5d6b_718A2583-HDR.jpg,Reservado
1.970,"Morandé, 617, Santiago",1,1,34,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/5cdef0c2-074d-4024-bb5f-5338b7c4f18c_718A1125-HDR.jpg,Reservado
2.760,"San Francisco, 228, Santiago",2,2,46,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/875733ae-bcc8-4719-bc63-e5c1a46d6a4c_718A1440-HDR.jpg,Reservado
2.380,"Diagonal Santa Elena, 2565, San Joaquín",1,1,34,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/334cd908-6b2d-4c24-9b28-8ce8c0766533_718A5202-HDR.jpg,Reservado
1.910,"Eleuterio Ramirez, 926, Santiago",1,1,31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/e3b46f6b-a03f-4ec7-b4eb-0684ce4e71f7_718A5345-HDR.jpg,Reservado
2.860,"Manuel Sánchez, 3271, Macul",2,2,48,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/99f68cc1-a28d-46f2-84cd-3a633dd95688_718A2468-HDR.jpg,Reservado
2.210,"Av. Vicuña Mackenna, 2289, San Joaquín",1,1,33,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/335a18c7-0f0d-4758-a28d-31d2d5f0fa33_718A3892-HDR.jpg,Reservado
1.990,"Portugal, 564, Santiago",1,1,28,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/ffcf1c76-aa2c-4503-a50d-31d8cf3e2635_718A3972-HDR.jpg,Reservado
3.170,"San Isidro, 250, Santiago",3,2,58,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/de65e555-6c03-47a3-945a-92f131ae9adf_718A8842.jpg,Reservado
2.610,"Alcalde Pedro Alarcón, 997, San Miguel",2,1,46,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/576e8fae-3ed8-4679-8024-96038e9fd26c_654a.jpg,Reservado
2.000,"Portugal, 406, Santiago",1,1,31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/da24602b-4b46-45cd-a98e-08ed031b8f43_718A5485-HDR.jpg,Disponible
2.320,"San Martín, 714, Santiago",2,1,46,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/f1e17979-0f4c-4bed-bfab-f76648debb81_718A6026.jpg,Disponible
